;title;text;label
10;A North Korea nuclear test over the Pacific? Logical, terrifying;SEOUL/TOKYO (Reuters) - Detonating a nuclear-tipped missile over the Pacific Ocean would be a logical final step by North Korea to prove the success of its weapons program but would be extremely provocative and carry huge risks, arms control experts said on Friday. North Korean Foreign Minister Ri Yong Ho suggested leader Kim Jong Un was considering testing “an unprecedented scale hydrogen bomb” over the Pacific in response to U.S. President Donald Trump’s threat at the United Nations to “totally destroy” the country. “It may mean North Korea will fire a warhead-tipped (intermediate range) Hwasong-12 or Hwasong-14 intercontinental ballistic missile and blow it up a few hundred kilometers above the Pacific Ocean,” said Yang Uk, a senior researcher at the Korea Defence and Security Forum in Seoul.  “They may be bluffing, but there is a need for them to test their combined missile-bomb capability. They could have already prepared the plan and are now trying to use Trump’s remarks as an excuse to make it happen,” said Yang. Such an atmospheric test would be the first globally since China detonated a device in 1980, according to the International  Atomic Energy Agency.  Tests of nuclear-tipped ballistic missiles are rarer still. The United States’ only test of an operational ballistic missile with a live warhead was fired from submarine far out in the Pacific Ocean in 1962. China was widely condemned for a similar test with a missile that exploded over its Lop Nur test site in the country’s west in 1966. North Korea’s six nuclear tests to date have all been underground, the most recent earlier this month by far its largest. “We have to assume they *could* do it, but it is exceedingly provocative,” said Vipin Narang, an associate professor of political science at  Massachusetts Institute of Technology.  “To put a live nuclear warhead on a missile that’s only been tested a handful of times, overflying potentially populated centers. If it...doesn’t go exactly as planned....it could be a world changing event.”  North Korea has fired two ballistic missiles over Japan’s north Hokkaido region in the past month as part of a series of tests that experts say have illustrated unexpectedly rapid advances. “They said Pacific Ocean, which pretty much means firing a missile over Japan,” said Melissa Hanham, a senior research associate at the U.S.-based Middlebury Institute of International Studies at Monterey, California. “They want to shut us all up for doubting they could build it.” While a missile would be the most ideal means of delivery, it is also possible to put a bomb on a ship and detonate on the surface of the ocean or in the sea, the experts said.  Either way, the radioactive fallout could be significant, as well as the diplomatic backlash from around the world. North Korea’s recent missile launches over Japan especially drew stern rebukes from Tokyo and the international community.  Japan’s Chief Cabinet Secretary Yoshihide Suga called Pyongyang’s remarks and behavior “completely unacceptable”. Narang said a test high enough over the ocean would limit the radioactive fallout but risks included damage from an electro-magnetic pulse, something Pyongyang has hinted it might employ on an attack on the United States or its allies.  “If it doesn’t go exactly as planned and the detonation occurs at a lower altitude we could see some EMP-like effects for anything in the area. A lot of dead fish too.” Pyongyang has launched dozens of missiles this year as it spurs a program aimed at mastering a nuclear-tipped missile that can strike the United States, in addition to its Sept 3 nuclear test.  If Kim’s threat materializes, it will be a “tipping point” for China, and may prompt many other countries to demand an “end to the regime,” said David Albright, founder of the non-profit Institute for Science and International Security in Washington.  “No one has tested above ground for decades and the radioactive fallout could be terrifying to many,” Albright said.     Other experts said such an atmospheric nuclear test is unlikely for now due to its substantial technical and diplomatic risks.  Joshua Pollack, editor of the Washington-based Nonproliferation Review, said it would be an “end-to-end demo of everything.” “But I would be surprised if this were their very next move. They have yet to test an ICBM at full range into the Pacific,” said Pollack. “That will probably come first.”;1
11;Czech police ask parliament to allow prosecution of prospective PM Babis;"PRAGUE (Reuters) - Czech police have requested parliament lift the immunity of prospective prime minister Andrej Babis to allow prosecution in a case involving alleged fraud in tapping European Union subsidies, the lower house s press office said on Tuesday. Babis, whose ANO party was the runaway winner in a parliamentary election in October on pledges to run the state better and fight corruption among traditional parties, denies any wrongdoing and has called the charges politically motivated.      Police suspect the billionaire businessman hid ownership of the Stork s Nest farm and convention center almost a decade ago to get a two million euro EU subsidy that was part of a program aimed at small businesses.  Lawmakers already voted in September to allow his prosecution, but Babis won immunity again with his re-election. He said on Tuesday the new request to lift immunity was further evidence of a campaign against him.   The speed at which they are coming after me again only shows what huge fear the corrupt system has; how much this old system is afraid of me and how tenaciously they are trying to get me,  Babis was quoted by CTK news agency as saying. President Milos Zeman has tasked Babis with forming a government, but the case has hurt his chances of assembling a coalition as almost all of the other eight parties in the lower house have refused to work with him if he faces police charges. Babis instead is aiming for a minority cabinet, which may be appointed in the coming weeks, but still faces the prospect he may lose a vote of confidence in the 200-seat lower house.  His party won 78 seats in the election and he has not found other support than possible tolerance from the Communist party with 15 seats.  A failure to win confidence would trigger two more attempts to form a cabinet, which could take months, while Babis s team would hold office in the meantime. Most parties have said they would vote to lift immunity again but it was not clear if a majority would be found. The case also involves ANO s deputy chairman Jaroslav Faltynek, who has denied wrongdoing. Babis entered politics in 2011 and had sat in the outgoing center-left government. He moved his holding in his business empire - valued at $4 billion and comprising numerous companies in food processing, agriculture, chemicals and media - to trust funds earlier this year.";1
12;ONE DEMOCRAT WHO REFUSES To Cast Electoral Vote For Crooked Hillary Could End It All For Her [VIDEO];Trump is going to win in a landslide, but wouldn t it be a delicious irony to see a male Bernie supporter have the power to keep her from assuming a role she stole from his guy several months ago It s the Electoral College that determines the President, not the popular vote. And the Electoral College is made up of Electors.Usually, the Electoral College is a formality. Electors vote for whomever won their state.This year, there s a hiccup. A Democrat Elector in Washington state says he won t vote for Hillary.Washington state is almost certainly going for Hillary.If this man won t vote for Hillary, he could keep her from getting the 270 electoral votes needed to win the Presidency.Here s what he said:Robert Satiacum is a Bernie fan. He thinks the Democrat primary was rigged. He thinks Hillary cheated. So he won t vote for her.Watch Satiacum letting everyone know he s not joking around:The Seattle Times reported: No, no, no on Hillary. Absolutely not. No way,  said Robert Satiacum, a member of Washington s Puyallup Tribe who had supported Vermont Sen. Bernie Sanders as the Democratic presidential nominee. He had earlier told various media outlets he was wrestling with whether his conscience would allow him to support Clinton and was considering stepping aside for an alternate elector. But on Friday, he sounded firm, even if the election is close.  I hope it comes down to a swing vote and it s me,  he said.  Good. She ain t getting it. Maybe it ll wake this country up. And the Seattle Times says there s another Elector in Washington state who might do the same thing:Bret Chiafalo, a Democratic elector from Everett who is also a Sanders supporter, said he is considering exercising his right to be a  conscientious elector  and vote for the person he believes would be the best president.  I have no specific plans, but I have not ruled out that possibility,  he said. Via: American Lookout;0
13; WATCH: Senator Al Franken Just Ripped Ted Cruz A New One For Insulting Him During Senate Hearing;Ted Cruz accused Senator Al Franken of lying about Jeff Sessions  record on civil rights. On Wednesday, Franken fired back.Just before the Senate Judiciary Committee voted to confirm Sessions as Donald Trump s Attorney General, Franken took the Texas senator to the woodshed for disparaging his character and integrity. Cruz claimed that 1986 testimony about Sessions making racist remarks was  recanted,  which is a complete lie. Let s talk about who is trying to impugn the record of another senator,  Franken said.  I think Senator Cruz is trying to impugn mine. Republican Senator John Cornyn, of course, objected to Franken s remarks, complaining that Cruz was not in the room to respond in his own defense. You know, any excuse to try and shut down a Democrat telling the truth about a Republican snake.But Franken was ready for such whining and reminded Cornyn that he did not object when Cruz did the exact same thing to him. Senator Cruz did the very thing Senator Cornyn is accusing me of doing. In my absence  he personally went after me, he personally impugned my integrity. You didn t object then, did you? Chuck Grassley let Franken continue but warned him to  leave personalities out of it  because apparently only Republicans are allowed to personally attack the opposition during hearings.Franken was then interrupted again by a still complaining Cornyn, who insisted that Franken wait for Cruz to be in the room. Well get him here, but he ll have a tape of it,  Franken shot back.Here s the video via YouTube.If Ted Cruz did not want Franken to lambaste him during a Senate hearing he shouldn t have lied about the facts and insulted Franken in the first place.Jeff Sessions has a record of racism going back decades and his nomination to head the Justice Department is an insult to every person who fought hard for civil rights and voting rights in this country. Republicans should be ashamed of themselves for confirming him.Featured image via Nation of Change;0
14;Nearly half of Americans still oppose Republican tax bill: Reuters/Ipsos poll;WASHINGTON/NEW YORK (Reuters) - As Republicans in the U.S. Congress rush to finish their tax plan, the legislation is not getting more popular with the public, with nearly half of Americans still opposed to it, according to a Reuters/Ipsos opinion poll released on Monday. Of adults who were aware of the plan being considered by Congress, 49 percent said they were opposed to it, a sentiment that has not changed much in the past few weeks, the poll showed. In addition to the 49 percent who said they opposed the Republican tax bill, 31 percent said they supported it and 20 percent said they “don’t know,” according to the online opinion poll of 1,499 adults conducted Dec. 3 to 7, with 1,138 adults saying they were aware of the tax legislation. A poll taken at the end of November also showed 49 percent opposed to the plan.  Tax negotiators are trying to reconcile the differences between separate bills passed by the House of Representatives and the Senate, then to send a final bill to President Donald Trump, who want to sign it into law before year’s end. Accomplishing this feat would represent the Republicans’ first major legislative victory since they took control of both chamber of Congress and the White House in January. Republican tax legislation would slash the corporate tax rate, eliminate some taxes paid only by rich Americans and offer a mixed bag of temporary cuts to other individuals and families. Trump, who is expected to give a speech on the tax overhaul on Wednesday, praised it in a tweet on Sunday by saying the “end result will be not only important, but SPECIAL!” When asked about Trump’s handling of tax policy, 53 percent of those polled said they disapproved, 38 percent approved and 9 percent said they “don’t know,” the Reuters/Ipsos poll showed. When asked who stands to benefit most from the Republican plan, more than half of American adults surveyed selected either the wealthy or large U.S. corporations. Twelve percent chose “all Americans,” 8 percent picked the middle class and 2 percent chose lower-income Americans. The Reuters/Ipsos poll has a credibility interval, a measure of accuracy, of 3 about percentage points. A USA TODAY/Suffolk University Poll released on Sunday showed that 32 percent of Americans support the Republican tax plan, with more than half predicting it would not lower tax bills for their families or help the economy in a major way.;1
15;White House declines to say if Trump has made decision on climate accord;WASHINGTON (Reuters) - White House spokesman Sean Spicer declined on Wednesday to say whether President Donald Trump has decided to withdraw from the Paris Accord to fight climate change, despite reports indicating that he would pull out of the global deal. Asked whether Trump planned to remove the United States from the Paris Accord or remain in, Spicer said: “When the president has a decision, he’ll make that announcement and he’ll make it clear what the basis of that is.” Asked if that meant Trump had not made a final decision, Spicer said: “I obviously don’t know whether or not he’s made it, but when he’s ready to make an announcement, he’ll make it clear.” ;1
16;U.S. appeals court hears arguments on Virginia's voter ID law;RICHMOND, VA. (Reuters) - A U.S. appeals court on Thursday heard Virginia Democrats’ challenge to a Republican-backed state law requiring prospective voters to show approved photo identification before casting ballots. The three-judge panel from the Fourth Circuit Court of Appeals repeatedly questioned attorneys about similarities between Virginia’s 2013 statute and North Carolina’s photo ID law. The appeals court struck down the North Carolina law in July, ruling that it intentionally discriminated against minority voters. The Virginia Democratic Party wants the law overturned, contending the measure was intended to counter its growing political clout in the state. Republicans say it was aimed at combating voter fraud. Judge Dennis Shedd asked attorney Bruce Spiva, who  represented opponents of the law: “Was it as egregious as North Carolina’s [law] was as seen by the court?” “Yes, your honor,” said Spiva. “Was the motive in Virginia as bad if not worse?” Shedd asked, referring to the intent of racism found by the court in North Carolina’s law. “As bad, your honor,” Spiva said. He added that the law was especially burdensome for minorities and young people, who tend to vote Democratic. Mark Hearne, who defended the state measure, said the Virginia photo ID law was different from North Carolina’s. Among other factors, Hearne said, there had been “no evidence of discriminatory intent” as the court found in the North Carolina case. The appeal ahead of the Nov. 8 elections is among several legal challenges around the United States to voter identification laws that were driven by Republicans, who argue that they prevent election fraud. The appeals panel did not say when it might rule. U.S. District Judge Henry Hudson in May had upheld the law passed by the Republican-led legislature and signed by then-Governor Robert McDonnell, also a Republican. He said the “inconvenience” to potential voters was not enough to merit striking it down. Democrats have made gains in the state, once a Republican stronghold. President Barack Obama won the state in 2008, boosted by turnout among black, Latino and young voters, and again in 2012. Virginia’s governor, lieutenant governor, attorney general and both U.S. senators are Democrats. Democratic presidential nominee Hillary Clinton also leads Republican opponent Donald Trump in Virginia opinion polls. In the North Carolina case, the U.S. Supreme Court last month rejected a request by the state that the restrictions be reinstated for the Nov. 8 election.;1
17;WOW! UNHINGED CLOWN DEMOCRAT Goes Nuts On House Floor During Obamacare Debate [Video];.@rosadelauro:  What does the GOP stand for?  Get Old People.  That s what this bill does.  pic.twitter.com/9ekkg0Nr5I  Fox News (@FoxNews) March 24, 2017;0
18; Heiress To Disney Empire Knows GOP Scammed Us – SHREDS Them For Tax Bill;Abigail Disney is an heiress with brass ovaries who will profit from the GOP tax scam bill but isn t into f-cking poor people over. Ms. Disney penned an op-ed for USA Today in which she rips the GOP a new one because she has  always been cognizant of income and wealth inequality.  In other words, she is not Donald Trump, Paul Ryan or Bob Corker. Or Mitch McConnell. She is Abigail Disney, dammit. Since the election of Ronald Reagan, the gap between rich and poor has grown dramatically and  trickle down  economics has turned out to cause more of a trickle up,  she writes.  But nothing has brought the problem of inequality into sharper focus for me than the current proposals by Republicans to overhaul the tax system. Disney says that this proposal will be burdensome to the middle class while decreasing  the responsibility of the wealthy to contribute to the common good. And then she dropped a truth bomb. (We like truth bombs.)Republicans insist this plan will cut taxes for the middle class, but the truth is that any meager savings will be offset by losses elsewhere   in deductions no longer allowed, loss of Medicaid and Medicare coverage, and less funding for education, all of which are on the chopping block in order to provide a tax cut for a few very wealthy people like me. There is even a tax break to private jet owners. This bill will give me this tax cut while also killing health insurance for over 13 million people,  Disney wrote.  It will let me pass over $20 million to my children, tax-free. And all my friends with private jets? They get a tax cut too. With a suffocating education system, a dying infrastructure and a national debt that will be at least $1.5 trillion bigger, that social mobility will be far out of reach for people like you,  Disney continued.  But I will be able to stay comfortably right where I am. Does that strike you as fair? No, it does not, thankyouverymuch. But given how this bill was written, I think it s looking a lot like a nightmare from Pirates of the Caribbean,  Disney wrote.  Have I made you angry yet? I really hope I ve made you angry. You should be. No one who votes for this tax bill will be voting with your life in mind. But you will pay for it. Watch:This Disney heiress is taking a stand against the GOP tax bill  even though she s going to benefit from it pic.twitter.com/E5bmcI83mU  NowThis (@nowthisnews) December 20, 2017 If democracy is just a bunch of people advocating for their own self-interest instead of the interests of the greater good, then we re not a democracy, we re anarchy,  Disney added.  We need to start voting and acting as citizens as though the common good matters more than our own personal well-being. This isn t tax reform. It s a heist.Photo by Ralph Orlowski/Getty Images for Burda Media.;0
19; Trump Staffers Admit Their Boss Has No Idea What DACA Is;Donald Trump sent a racist elf to make the announcement that his administration is going to punish 800,000 young people, who came to the U.S. as children, and subject them to deportation in an act that Attorney General Jeff Sessions called  compassionate. The Obama-era Deferred Action for Childhood Arrivals program, also known as DACA, is being terminated by a man who doesn t know what the program is, according to Trump s own administration officials, who said he doesn t fully comprehend what the move to eliminate DACA would mean.According to the New York Times, it was just an hour before the announcement that Trump administration officials privately expressed concern that the former reality show star might not fully grasp the details of the steps he was about to take, and when he discovered their full impact, would change his mind.Trump did not have the courage to face the nation and make the announcement himself and left Sessions to do his dirty work.The perpetrators behind pushing Trump to eliminate the program include Stephen Miller   the amateur president s chief domestic policy aide   who wrote the Trump campaign s immigration plan promising the termination of DACA, and has played a pivotal role inside the White House in pushing Trump to roll back the provision, according to Politico.Steve Bannon and Attorney General Jeff Sessions, the latter of which just made the announcement, have also been against the program, even though ending it would hurt the economy.Trump, without even comprehending how upending the program would affect the economy as well as tear families apart, allowed three extremists to call the shots instead of trying to unify the country while it was just besieged by one deadly hurricane   and another category 5 storm is on its way.Bannon and Sessions both believe that Trump s rise is credited to his stance on immigration, however, the former reality show star told DREAMers recently to  rest easy  because his administration would not kick them out of the country. Just a few days ago, Trump said,  We love the DREAMers! Photo by Andrew Harrer-Pool/Getty Images;0
20;Argentina says satellite calls detected, likely from missing submarine;BUENOS AIRES (Reuters) - Argentina s defense ministry said seven failed  satellite calls  that it believes came from a missing naval submarine were detected on Saturday in a likely sign the crew of 44 was trying to reestablish contact. The calls, believed to be from the ARA San Juan submarine, lasted between four and 36 seconds in the late morning and early afternoon, the ministry said in an emailed statement. The ministry said it was working on tracing the location with an unnamed U.S. company specialized in satellite communications.;1
